gene,target_id,cluster
FBgn0037363,FBtr0334946,2
FBgn0037550,FBtr0339725,19
FBgn0037753,FBtr0113213,3
FBgn0037797,FBtr0082222,2
FBgn0037798,FBtr0110952,9
FBgn0037902,FBtr0082391,5
FBgn0037978,FBtr0082557,1
FBgn0037992,FBtr0082550,10
FBgn0037992,FBtr0308292,10
FBgn0038028,FBtr0082606,1
FBgn0038028,FBtr0344387,1
FBgn0038071,FBtr0082648,2
FBgn0038109,FBtr0082698,6
FBgn0038150,FBtr0082759,1
FBgn0038194,FBtr0089766,5
FBgn0038242,FBtr0082957,18
FBgn0038243,FBtr0082981,7
FBgn0038385,FBtr0083201,1
FBgn0038475,FBtr0083422,3
FBgn0038476,FBtr0305987,9
FBgn0038535,FBtr0089416,4
FBgn0038803,FBtr0083908,6
FBgn0038833,FBtr0083968,4
FBgn0038894,FBtr0084113,3
FBgn0039026,FBtr0084312,2
FBgn0039167,FBtr0084572,3
FBgn0039229,FBtr0331696,2
FBgn0039283,FBtr0084780,1
FBgn0039286,FBtr0084803,5
FBgn0039286,FBtr0330288,5
FBgn0039286,FBtr0330289,1
FBgn0039288,FBtr0084804,4
FBgn0039350,FBtr0084889,9
FBgn0039350,FBtr0336450,6
FBgn0039350,FBtr0445401,6
FBgn0039600,FBtr0113301,3
FBgn0039678,FBtr0339147,7
FBgn0039734,FBtr0085550,2
FBgn0039734,FBtr0085551,1
FBgn0039944,FBtr0113726,21
FBgn0040022,FBtr0302247,3
FBgn0040038,FBtr0113686,5
FBgn0040392,FBtr0070407,1
FBgn0040532,FBtr0081920,11
FBgn0040649,FBtr0077311,4
FBgn0040670,FBtr0344948,6
FBgn0040984,FBtr0337080,9
FBgn0041160,FBtr0075580,1
FBgn0041184,FBtr0081040,4
FBgn0041184,FBtr0329928,4
FBgn0041706,FBtr0072251,2
FBgn0043791,FBtr0082060,2
FBgn0044028,FBtr0075435,14
FBgn0044050,FBtr0076373,21
FBgn0044324,FBtr0346095,1
FBgn0046253,FBtr0273227,3
FBgn0046687,FBtr0308339,7
FBgn0050015,FBtr0113357,2
FBgn0050062,FBtr0303158,13
FBgn0050081,FBtr0087365,3
FBgn0050089,FBtr0340007,1
FBgn0050115,FBtr0340387,2
FBgn0050163,FBtr0343491,12
FBgn0050285,FBtr0071678,2
FBgn0050286,FBtr0300952,5
FBgn0050287,FBtr0071695,16
FBgn0050357,FBtr0088721,4
FBgn0050372,FBtr0339300,4
FBgn0050398,FBtr0071710,6
FBgn0050431,FBtr0085991,6
FBgn0050432,FBtr0307499,11
FBgn0051131,FBtr0300438,3
FBgn0051184,FBtr0084505,1
FBgn0051253,FBtr0085263,3
FBgn0051313,FBtr0082982,11
FBgn0051313,FBtr0334960,11
FBgn0051313,FBtr0334961,18
FBgn0051485,FBtr0081662,9
FBgn0051523,FBtr0078937,7
FBgn0051606,FBtr0079577,7
FBgn0051712,FBtr0331636,3
FBgn0051716,FBtr0331637,6
FBgn0051721,FBtr0080096,5
FBgn0052141,FBtr0075735,6
FBgn0052227,FBtr0074848,4
FBgn0052475,FBtr0329896,1
FBgn0052569,FBtr0290248,2
FBgn0052574,FBtr0074329,2
FBgn0052639,FBtr0073734,2
FBgn0052655,FBtr0073633,4
FBgn0052672,FBtr0346376,3
FBgn0052801,FBtr0070355,2
FBgn0052829,FBtr0079370,3
FBgn0052971,FBtr0080621,3
FBgn0052982,FBtr0301040,1
FBgn0053099,FBtr0084288,1
FBgn0053113,FBtr0079042,2
FBgn0053113,FBtr0079043,2
FBgn0053113,FBtr0079044,1
FBgn0053180,FBtr0303648,1
FBgn0053200,FBtr0071826,1
FBgn0053207,FBtr0083162,5
FBgn0053526,FBtr0091487,4
FBgn0053526,FBtr0091489,3
FBgn0053552,FBtr0091522,1
FBgn0063261,FBtr0083346,4
FBgn0067905,FBtr0100038,7
FBgn0069056,FBtr0308585,16
FBgn0082598,FBtr0302543,6
FBgn0082598,FBtr0332730,3
FBgn0083940,FBtr0110782,8
FBgn0083972,FBtr0110944,9
FBgn0085412,FBtr0329899,2
FBgn0085424,FBtr0342628,2
FBgn0085432,FBtr0100246,3
FBgn0085432,FBtr0112657,4
FBgn0086690,FBtr0333940,8
FBgn0086690,FBtr0333946,2
FBgn0250906,FBtr0330718,2
FBgn0259111,FBtr0331659,2
FBgn0259111,FBtr0331660,3
FBgn0259167,FBtr0299616,6
FBgn0259167,FBtr0299617,6
FBgn0259211,FBtr0299706,3
FBgn0259211,FBtr0300538,2
FBgn0259211,FBtr0345791,4
FBgn0259212,FBtr0334910,2
FBgn0259730,FBtr0299997,15
FBgn0259731,FBtr0299998,15
FBgn0259732,FBtr0299999,15
FBgn0259733,FBtr0299996,15
FBgn0259740,FBtr0302201,5
FBgn0259740,FBtr0304667,1
FBgn0259817,FBtr0300105,1
FBgn0260011,FBtr0080592,5
FBgn0260400,FBtr0070091,2
FBgn0260477,FBtr0300950,16
FBgn0260635,FBtr0075501,9
FBgn0260635,FBtr0333618,9
FBgn0261268,FBtr0302158,3
FBgn0261434,FBtr0078951,10
FBgn0261501,FBtr0302392,6
FBgn0261538,FBtr0302554,3
FBgn0261554,FBtr0302702,5
FBgn0261560,FBtr0077524,5
FBgn0261563,FBtr0305063,1
FBgn0261648,FBtr0089913,2
FBgn0261648,FBtr0343619,2
FBgn0261800,FBtr0079490,1
FBgn0261822,FBtr0079573,2
FBgn0261858,FBtr0303463,4
FBgn0261873,FBtr0089974,2
FBgn0261873,FBtr0308217,2
FBgn0261930,FBtr0070110,3
FBgn0262112,FBtr0085481,1
FBgn0262482,FBtr0304821,9
FBgn0262531,FBtr0304976,6
FBgn0262607,FBtr0305281,3
FBgn0262614,FBtr0305298,1
FBgn0262614,FBtr0305303,8
FBgn0262614,FBtr0305304,3
FBgn0262624,FBtr0072836,5
FBgn0262719,FBtr0305700,2
FBgn0262719,FBtr0308608,1
FBgn0262821,FBtr0306064,3
FBgn0262853,FBtr0306143,5
FBgn0262867,FBtr0086003,1
FBgn0262867,FBtr0307500,2
FBgn0262867,FBtr0307501,6
FBgn0262867,FBtr0336524,14
FBgn0262948,FBtr0306554,3
FBgn0263102,FBtr0088278,6
FBgn0263102,FBtr0088281,4
FBgn0263102,FBtr0100607,8
FBgn0263144,FBtr0336519,3
FBgn0263197,FBtr0086948,4
FBgn0263256,FBtr0308298,1
FBgn0263256,FBtr0330321,3
FBgn0263256,FBtr0339672,1
FBgn0263256,FBtr0344862,4
FBgn0263316,FBtr0302027,7
FBgn0263603,FBtr0075493,1
